subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.9094,-68.6833,HYDRO,0.0,79.36013276120260,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,45.2497,-68.6483,HYDRO,0.0,46.1878651833757,0.0,235609.2712082310,0.0
Upper Kennebec,1030001.0,4109383298.96,1030001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.26886577905736700,ME,45.6603,-69.812168,HYDRO,0.0,38.82084089142270,0.0,633472.702565396,0.0
Upper Kennebec,1030001.0,4109383298.96,1030001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.26886577905736700,ME,45.4592,-69.8658,HYDRO,0.0,52.96715217907470,0.0,633472.702565396,0.0
Dead,1030002.0,2270360302.52,1030002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.25720790442230100,ME,45.3853,-70.5258,WIND,0.0,0.0038,0.0,606005.6690993480,0.0
Dead,1030002.0,2270360302.52,1030002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.25720790442230100,ME,45.140614,-70.425577,BIOMASS,7147.528,1.93755189619717,0.028815913498171700,606005.6690993480,67892.96378503670
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.7975,-69.8867,HYDRO,0.0,0.8383733126293600,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.945514,-69.660705,BIOMASS,2244.52,1.93755189619717,0.03865463438156580,358023.8592983240,91073.90235461360
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.4967,-69.35,WIND,0.0,0.0038,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.580175,-69.55452,HYDRO,0.0,11.47840087200650,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,45.103333,-69.761944,WIND,0.0,0.0038,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.221796,-69.785675,HYDRO,0.0,0.8208436436682320,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.563031,-69.619162,HYDRO,0.0,13.27507536547090,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.804,-69.838,SOLAR,0.0,0.0076,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.5467,-69.6292,HYDRO,0.0,11.1495068258166,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.548544,-69.710404,HYDRO,0.0,3.485789536565040,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.569872,-69.681841,HYDRO,0.0,59.46163804698710,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.534397,-69.652232,HYDRO,0.0,17.57603393245200,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.557725,-69.671364,SOLAR,0.0,0.0076,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.721371,-69.411992,HYDRO,0.0,229.2371260259470,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.629517,-69.583527,HYDRO,0.0,98.24534541154780,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.703467,-69.647441,BIOMASS,32752.931,1.189909029888000,0.060783585261067700,358023.8592983240,143211.76224783500
